Time_s,Force_Ref_N,Force_Pred_N,Force_Normal_N,Force_Total_N,Force_Shear_N,Motor1_pos_deg,Motor2_pos_deg,ThetaRef1_deg,ThetaRef2_deg,ThetaRef3_deg
0.1524,0.4000,1.006597,0.834192,0.867866,0.239407,40.3418,43.8574,28.954442,29.575543,29.575543
0.1535,0.4000,1.005814,0.834192,0.867866,0.239407,40.3418,43.8574,28.946789,29.572446,29.572446
0.1546,0.4000,1.007212,0.834192,0.867866,0.239407,40.2539,43.8574,28.939126,29.569343,29.569343
0.1557,0.4000,1.006429,0.834192,0.867866,0.239407,40.2539,43.8574,28.931472,29.566244,29.566244
0.1568,0.4000,1.009535,0.834192,0.867866,0.239407,40.1660,43.7695,28.923801,29.563130,29.563130
0.1579,0.4000,1.010923,0.834192,0.867866,0.239407,40.0781,43.7695,28.916120,29.560010,29.560010
0.1590,0.4000,1.010140,0.834192,0.867866,0.239407,40.0781,43.7695,28.908448,29.556894,29.556894
0.1602,0.4000,1.011525,0.834192,0.867866,0.239407,39.9902,43.7695,28.900766,29.553772,29.553772
0.1613,0.4000,1.010743,0.834192,0.867866,0.239407,39.9902,43.7695,28.893094,29.550654,29.550654
0.1624,0.4000,1.015547,0.834192,0.867866,0.239407,39.9023,43.5937,28.885399,29.547513,29.547513
0.1635,0.4000,1.014765,0.834192,0.867866,0.239407,39.9023,43.5937,28.877713,29.544377,29.544377
0.1646,0.4000,1.013985,0.834192,0.867866,0.239407,39.9023,43.5937,28.870037,29.541244,29.541244
0.1657,0.4000,1.015359,0.834192,0.867866,0.239407,39.8145,43.5937,28.862351,29.538105,29.538105
0.1668,0.4000,1.016296,0.834192,0.867866,0.239407,39.8145,43.5059,28.854668,29.534962,29.534962
0.1679,0.4000,1.017665,0.834192,0.867866,0.239407,39.7266,43.5059,28.846975,29.531813,29.531813
0.1691,0.4000,1.016885,0.834192,0.867866,0.239407,39.7266,43.5059,28.839291,29.528668,29.528668
0.1702,0.4000,1.019968,0.834192,0.867866,0.239407,39.6387,43.4180,28.831591,29.525509,29.525509
0.1713,0.4000,1.019189,0.834192,0.867866,0.239407,39.6387,43.4180,28.823901,29.522354,29.522354
0.1724,0.4000,1.018411,0.834192,0.867866,0.239407,39.6387,43.4180,28.816220,29.519203,29.519203
0.1735,0.4000,1.019773,0.834192,0.867866,0.239407,39.5508,43.4180,28.808530,29.516046,29.516046
0.1746,0.4000,1.018996,0.834192,0.867866,0.239407,39.5508,43.4180,28.800849,29.512892,29.512892
0.1757,0.4000,1.022073,0.834192,0.867866,0.239407,39.4629,43.3301,28.793151,29.509725,29.509725
0.1768,0.4000,1.021297,0.834192,0.867866,0.239407,39.4629,43.3301,28.785463,29.506562,29.506562
0.1779,0.4000,1.022650,0.834192,0.867866,0.239407,39.3750,43.3301,28.777766,29.503392,29.503392
0.1790,0.4000,1.021874,0.834192,0.867866,0.239407,39.3750,43.3301,28.770078,29.500227,29.500227
0.1807,0.4000,1.021099,0.834192,0.867866,0.239407,39.3750,43.3301,28.762400,29.497065,29.497065
0.1815,0.4000,1.022452,0.834192,0.867866,0.239407,39.2871,43.3301,28.754711,29.493898,29.493898
0.1825,0.4000,1.021677,0.834192,0.867866,0.239407,39.2871,43.3301,28.747033,29.490735,29.490735
0.1836,0.4000,1.020903,0.834192,0.867866,0.239407,39.2871,43.3301,28.739364,29.487575,29.487575
0.1847,0.4000,1.022256,0.834192,0.867866,0.239407,39.1992,43.3301,28.731685,29.484410,29.484410
0.1858,0.4000,1.021483,0.834192,0.867866,0.239407,39.1992,43.3301,28.724016,29.481248,29.481248
0.1870,0.4000,1.022833,0.834192,0.867866,0.239407,39.1113,43.3301,28.716337,29.478081,29.478081
0.1880,0.4000,1.022060,0.834192,0.867866,0.239407,39.1113,43.3301,28.708668,29.474918,29.474918
0.1891,0.4000,1.021288,0.834192,0.867866,0.239407,39.1113,43.3301,28.701008,29.471758,29.471758
0.1902,0.4000,1.020517,0.834192,0.867866,0.239407,39.1113,43.3301,28.693358,29.468603,29.468603
0.1913,0.4000,1.019747,0.834192,0.867866,0.239407,39.1113,43.3301,28.685717,29.465451,29.465451
0.1924,0.4000,1.021100,0.834192,0.867866,0.239407,39.0234,43.3301,28.678066,29.462293,29.462293
0.1935,0.4000,1.020330,0.834192,0.867866,0.239407,39.0234,43.3301,28.670425,29.459140,29.459140
0.1946,0.4000,1.019561,0.834192,0.867866,0.239407,39.0234,43.3301,28.662794,29.455990,29.455990
0.1957,0.4000,1.022632,0.834192,0.867866,0.239407,38.9355,43.2422,28.655146,29.452826,29.452826
0.1968,0.4000,1.021864,0.834192,0.867866,0.239407,38.9355,43.2422,28.647507,29.449666,29.449666
0.1979,0.4000,1.021097,0.834192,0.867866,0.239407,38.9355,43.2422,28.639878,29.446510,29.446510
0.1991,0.4000,1.020331,0.833762,0.867249,0.238664,38.9355,43.2422,28.632258,29.443358,29.443358
0.2002,0.4000,1.021680,0.833762,0.867249,0.238664,38.8477,43.2422,28.624629,29.440201,29.440201
0.2013,0.4000,1.020915,0.833762,0.867249,0.238664,38.8477,43.2422,28.617009,29.437046,29.437046
0.2024,0.4000,1.020150,0.833762,0.867249,0.238664,38.8477,43.2422,28.609398,29.433896,29.433896
0.2035,0.4000,1.019386,0.833762,0.867249,0.238664,38.8477,43.2422,28.601797,29.430750,29.430750
0.2046,0.4000,1.020736,0.833762,0.867249,0.238664,38.7598,43.2422,28.594186,29.427598,29.427598
0.2057,0.4000,1.019973,0.833762,0.867249,0.238664,38.7598,43.2422,28.586584,29.424450,29.424450
0.2069,0.4000,1.019210,0.833762,0.867249,0.238664,38.7598,43.2422,28.578992,29.421305,29.421305
0.2080,0.4000,1.018448,0.833762,0.867249,0.238664,38.7598,43.2422,28.571409,29.418165,29.418165
0.2091,0.4000,1.017688,0.833762,0.867249,0.238664,38.7598,43.2422,28.563835,29.415028,29.415028
0.2102,0.4000,1.019041,0.833762,0.867249,0.238664,38.6719,43.2422,28.556252,29.411885,29.411885
0.2113,0.4000,1.018280,0.833762,0.867249,0.238664,38.6719,43.2422,28.548678,29.408747,29.408747
0.2124,0.4000,1.017521,0.833762,0.867249,0.238664,38.6719,43.2422,28.541113,29.405612,29.405612
0.2135,0.4000,1.016762,0.833762,0.867249,0.238664,38.6719,43.2422,28.533557,29.402481,29.402481
0.2146,0.4000,1.016005,0.833762,0.867249,0.238664,38.6719,43.2422,28.526011,29.399354,29.399354
0.2157,0.4000,1.015248,0.833762,0.867249,0.238664,38.6719,43.2422,28.518474,29.396230,29.396230
0.2168,0.4000,1.014492,0.833762,0.867249,0.238664,38.6719,43.2422,28.510947,29.393111,29.393111
0.2179,0.4000,1.013738,0.833762,0.867249,0.238664,38.6719,43.2422,28.503428,29.389995,29.389995
0.2190,0.4000,1.015098,0.833762,0.867249,0.238664,38.5840,43.2422,28.495900,29.386873,29.386873
0.2202,0.4000,1.014343,0.833762,0.867249,0.238664,38.5840,43.2422,28.488381,29.383756,29.383756
0.2213,0.4000,1.013590,0.833762,0.867249,0.238664,38.5840,43.2422,28.480871,29.380642,29.380642
0.2224,0.4000,1.012837,0.833762,0.867249,0.238664,38.5840,43.2422,28.473370,29.377532,29.377532
0.2239,0.4000,1.012086,0.833762,0.867249,0.238664,38.5840,43.2422,28.465879,29.374425,29.374425
