Time_s,Phase,Force_N,Motor1_pos_deg,Motor2_pos_deg,Motor1_vel_degs,Motor2_vel_degs,Motor1_torque_Nm,Motor2_torque_Nm,UR5_Z_m,UR5_displacement_m,K_d_Nmrad,Alpha
0.1217,descent,1.0737,52.3828,42.9785,-26.1060,-31.6020,0.023722,0.043601,0.084788,0.000212,0.600000,0
0.1228,descent,1.0737,52.3828,42.9785,-26.1060,-30.2280,0.023722,0.043547,0.084788,0.000212,0.600000,0
0.1239,descent,1.0737,52.3828,42.9785,-26.1060,-30.2280,0.023722,0.043547,0.084776,0.000224,0.600000,0
0.1250,descent,1.0737,52.3828,42.9785,-26.1060,-30.2280,0.023722,0.043547,0.084776,0.000224,0.600000,0
0.1262,descent,1.0737,52.2949,42.8906,-26.1060,-28.8540,0.023897,0.044174,0.084793,0.000207,0.600000,0
0.1273,descent,1.0737,52.2949,42.8906,-26.1060,-28.8540,0.023897,0.044174,0.084793,0.000207,0.600000,0
0.1284,descent,1.0737,52.2070,42.8906,-26.1060,-27.4800,0.024075,0.044115,0.084793,0.000207,0.600000,0
0.1295,descent,1.0737,52.2070,42.8906,-26.1060,-27.4800,0.024075,0.044115,0.084793,0.000207,0.600000,0
0.1306,descent,1.0737,52.2070,42.8906,-26.1060,-27.4800,0.024075,0.044115,0.084768,0.000232,0.600000,0
0.1317,descent,1.0737,52.1191,42.8027,-26.1060,-26.1060,0.024250,0.044743,0.084785,0.000215,0.600000,0
0.1328,descent,1.0737,52.1191,42.8027,-26.1060,-26.1060,0.024250,0.044743,0.084785,0.000215,0.600000,0
0.1339,descent,1.0737,52.1191,42.8027,-26.1060,-26.1060,0.024250,0.044743,0.084799,0.000201,0.600000,0
0.1351,descent,1.0737,52.0312,42.8027,-24.7320,-24.7320,0.024414,0.044684,0.084799,0.000201,0.600000,0
0.1362,descent,1.0737,52.0312,42.8027,-24.7320,-23.3580,0.024414,0.044629,0.084767,0.000233,0.600000,0
0.1373,descent,1.0737,51.9434,42.8027,-24.7320,-23.3580,0.024593,0.044625,0.084767,0.000233,0.600000,0
0.1384,descent,1.0737,51.8555,42.8027,-26.1060,-21.9840,0.024786,0.044566,0.084759,0.000241,0.600000,0
0.1395,descent,1.0737,51.8555,42.8027,-26.1060,-20.6100,0.024786,0.044511,0.084759,0.000241,0.600000,0
0.1406,descent,1.0737,51.8555,42.8027,-26.1060,-20.6100,0.024786,0.044511,0.084764,0.000236,0.600000,0
0.1417,descent,1.0737,51.8555,42.8027,-26.1060,-19.2360,0.024786,0.044457,0.084761,0.000239,0.600000,0
0.1428,descent,1.0737,51.7676,42.8027,-26.1060,-19.2360,0.024965,0.044452,0.084761,0.000239,0.600000,0
0.1439,descent,1.0737,51.7676,42.8027,-26.1060,-17.8620,0.024965,0.044398,0.084774,0.000226,0.600000,0
