Time_s,Ref_MCP_deg,Ref_PIP_deg,MCP_deg,PIP_deg
1.5557,3.3339,3.3339,0.0000,0.2162
1.5568,3.3406,3.3406,0.0000,0.2162
1.5579,3.3474,3.3474,0.0392,0.2162
1.5590,3.3541,3.3541,0.0392,0.2162
1.5601,3.3608,3.3608,0.0000,0.2162
1.5613,3.3677,3.3677,0.0000,0.2162
1.5623,3.3737,3.3737,0.0392,0.2162
1.5634,3.3806,3.3806,0.0392,0.2162
1.5645,3.3872,3.3872,0.0000,0.2162
1.5656,3.3939,3.3939,0.0000,0.2162
1.5668,3.4006,3.4006,0.0000,0.2162
1.5679,3.4073,3.4073,0.0392,0.2162
1.5690,3.4139,3.4139,0.0392,0.2162
1.5701,3.4208,3.4208,0.0392,0.2162
1.5713,3.4279,3.4279,0.0392,0.2162
1.5723,3.4337,3.4337,0.0000,0.2162
1.5734,3.4406,3.4406,0.0000,0.2162
1.5745,3.4472,3.4472,0.0000,0.2162
1.5756,3.4539,3.4539,0.0000,0.2162
1.5768,3.4606,3.4606,0.0000,0.2162
1.5779,3.4672,3.4672,0.0000,0.2162
1.5790,3.4739,3.4739,0.0000,0.2162
1.5801,3.4808,3.4808,0.0000,0.2162
1.5813,3.4878,3.4878,0.0000,0.2703
1.5823,3.4939,3.4939,0.0000,0.2162
1.5838,3.5028,3.5028,0.0392,0.2162
1.5846,3.5075,3.5075,0.0392,0.2162
1.5857,3.5139,3.5139,0.0000,0.2703
1.5868,3.5206,3.5206,0.0000,0.2703
1.5879,3.5272,3.5272,0.0000,0.2703
1.5890,3.5339,3.5339,0.0000,0.2703
1.5901,3.5408,3.5408,0.0392,0.2703
1.5913,3.5478,3.5478,0.0392,0.2703
1.5923,3.5538,3.5538,0.0392,0.2703
1.5934,3.5606,3.5606,0.0000,0.2703
1.5945,3.5673,3.5673,0.0000,0.2703
1.5956,3.5739,3.5739,0.0000,0.2162
1.5968,3.5806,3.5806,0.0000,0.2703
1.5979,3.5872,3.5872,0.0392,0.2703
1.5990,3.5941,3.5941,0.0000,0.2703
1.6001,3.6009,3.6009,0.0000,0.2162
1.6013,3.6077,3.6077,0.0000,0.2703
1.6023,3.6138,3.6138,0.0000,0.2703
1.6034,3.6206,3.6206,0.0000,0.2703
1.6045,3.6272,3.6272,0.0000,0.2703
1.6057,3.6339,3.6339,0.0000,0.2703
