Time_s,Ref_MCP_deg,Ref_PIP_deg,MCP_deg,PIP_deg
4.7389,30.0000,30.0000,20.7364,27.8374
4.7401,30.0000,30.0000,20.7364,27.8374
4.7412,30.0000,30.0000,20.7364,27.8374
4.7423,30.0000,30.0000,20.7364,27.8374
4.7434,30.0000,30.0000,20.7364,27.8374
4.7445,30.0000,30.0000,20.7364,27.8374
4.7457,30.0000,30.0000,20.7756,27.8374
4.7468,30.0000,30.0000,20.7364,27.8374
4.7479,30.0000,30.0000,20.7364,27.8374
4.7489,30.0000,30.0000,20.7364,27.8374
4.7501,30.0000,30.0000,20.7364,27.8374
4.7512,30.0000,30.0000,20.7364,27.8374
4.7523,30.0000,30.0000,20.7364,27.8374
4.7534,30.0000,30.0000,20.7364,27.8374
4.7545,30.0000,30.0000,20.7364,27.8374
4.7557,30.0000,30.0000,20.7364,27.8374
4.7568,30.0000,30.0000,20.7364,27.8374
4.7579,30.0000,30.0000,20.7364,27.8374
4.7589,30.0000,30.0000,20.7364,27.8374
4.7601,30.0000,30.0000,20.7364,27.8374
4.7612,30.0000,30.0000,20.7364,27.8374
4.7623,30.0000,30.0000,20.7364,27.8374
4.7634,30.0000,30.0000,20.7364,27.8374
4.7645,30.0000,30.0000,20.7364,27.8374
4.7657,30.0000,30.0000,20.7364,27.8374
4.7668,30.0000,30.0000,20.7364,27.8374
4.7679,30.0000,30.0000,20.7364,27.8374
4.7690,30.0000,30.0000,20.7364,27.8374
4.7701,30.0000,30.0000,20.7756,27.8374
4.7712,30.0000,30.0000,20.7756,27.8374
4.7723,30.0000,30.0000,20.7364,27.8374
4.7734,30.0000,30.0000,20.7364,27.8374
4.7745,30.0000,30.0000,20.7364,27.8374
4.7757,30.0000,30.0000,20.7364,27.8374
4.7768,30.0000,30.0000,20.7364,27.8374
4.7779,30.0000,30.0000,20.7364,27.8374
4.7790,30.0000,30.0000,20.7364,27.8374
4.7801,30.0000,30.0000,20.7364,27.8374
4.7812,30.0000,30.0000,20.7364,27.8374
4.7823,30.0000,30.0000,20.7364,27.8374
4.7834,30.0000,30.0000,20.7364,27.8374
4.7845,30.0000,30.0000,20.7364,27.8374
4.7857,30.0000,30.0000,20.7364,27.8374
4.7868,30.0000,30.0000,20.7364,27.8374
4.7879,30.0000,30.0000,20.7364,27.8374
4.7890,30.0000,30.0000,20.7364,27.8374
4.7901,30.0000,30.0000,20.7364,27.8374
4.7916,30.0000,30.0000,20.7364,27.8374
4.7923,30.0000,30.0000,20.7364,27.8374
4.7935,30.0000,30.0000,20.7364,27.8374
4.7946,30.0000,30.0000,20.7364,27.8374
4.7956,30.0000,30.0000,20.7364,27.8374
4.7968,30.0000,30.0000,20.7364,27.8374
4.7980,30.0000,30.0000,20.7364,27.8374
4.7990,30.0000,30.0000,20.7364,27.8374
4.8003,30.0000,30.0000,20.7364,27.8374
4.8012,30.0000,30.0000,20.7364,27.8374
4.8024,30.0000,30.0000,20.7364,27.8374
4.8035,30.0000,30.0000,20.7364,27.8374
4.8046,30.0000,30.0000,20.7364,27.8374
4.8057,30.0000,30.0000,20.7364,27.8374
4.8068,30.0000,30.0000,20.7364,27.8374
4.8079,30.0000,30.0000,20.7364,27.8374
4.8090,30.0000,30.0000,20.7364,27.8374
4.8101,30.0000,30.0000,20.7364,27.8374
4.8112,30.0000,30.0000,20.7364,27.8374
4.8123,30.0000,30.0000,20.7364,27.8374
4.8134,30.0000,30.0000,20.7364,27.8374
4.8145,30.0000,30.0000,20.7364,27.8374
4.8157,30.0000,30.0000,20.7364,27.8374
4.8168,30.0000,30.0000,20.7364,27.8374
4.8179,30.0000,30.0000,20.7364,27.8374
4.8190,30.0000,30.0000,20.7364,27.8374
4.8202,30.0000,30.0000,20.7364,27.8374
4.8213,30.0000,30.0000,20.7364,27.8374
4.8223,30.0000,30.0000,20.7364,27.8374
4.8235,30.0000,30.0000,20.7364,27.8374
4.8246,30.0000,30.0000,20.7364,27.8374
4.8256,30.0000,30.0000,20.7364,27.8374
4.8268,30.0000,30.0000,20.7364,27.8374
4.8280,30.0000,30.0000,20.7364,27.8374
4.8291,30.0000,30.0000,20.7364,27.8374
4.8303,30.0000,30.0000,20.7364,27.8374
4.8312,30.0000,30.0000,20.7364,27.8374
4.8324,30.0000,30.0000,20.7364,27.8374
4.8335,30.0000,30.0000,20.7756,27.8374
4.8346,30.0000,30.0000,20.7756,27.8374
4.8356,30.0000,30.0000,20.7756,27.8374
4.8368,30.0000,30.0000,20.7364,27.8374
4.8380,30.0000,30.0000,20.7364,27.8374
4.8391,30.0000,30.0000,20.7364,27.8374
4.8403,30.0000,30.0000,20.7364,27.8374
4.8412,30.0000,30.0000,20.7364,27.8374
4.8424,30.0000,30.0000,20.7364,27.8374
4.8435,30.0000,30.0000,20.7364,27.8374
4.8446,30.0000,30.0000,20.7364,27.8374
4.8456,30.0000,30.0000,20.7364,27.8374
4.8468,30.0000,30.0000,20.7364,27.8374
4.8480,30.0000,30.0000,20.7364,27.8374
4.8490,30.0000,30.0000,20.7364,27.8374
4.8503,30.0000,30.0000,20.7364,27.8374
4.8512,30.0000,30.0000,20.7364,27.8374
4.8524,30.0000,30.0000,20.7364,27.8374
4.8535,30.0000,30.0000,20.7364,27.8374
4.8546,30.0000,30.0000,20.7364,27.8374
4.8557,30.0000,30.0000,20.7364,27.8374
4.8568,30.0000,30.0000,20.7364,27.8374
4.8580,30.0000,30.0000,20.7364,27.8374
4.8590,30.0000,30.0000,20.7364,27.8374
4.8603,30.0000,30.0000,20.7364,27.8374
4.8612,30.0000,30.0000,20.7364,27.8374
4.8624,30.0000,30.0000,20.7364,27.8374
4.8635,30.0000,30.0000,20.7364,27.8374
4.8646,30.0000,30.0000,20.7364,27.8374
4.8656,30.0000,30.0000,20.7364,27.8374
4.8668,30.0000,30.0000,20.7364,27.8374
4.8680,30.0000,30.0000,20.7364,27.8374
4.8690,30.0000,30.0000,20.7364,27.8374
4.8703,30.0000,30.0000,20.7364,27.8374
4.8712,30.0000,30.0000,20.7756,27.8374
4.8724,30.0000,30.0000,20.7756,27.8374
4.8735,30.0000,30.0000,20.7364,27.8374
4.8746,30.0000,30.0000,20.7364,27.8374
4.8756,30.0000,30.0000,20.7364,27.8374
4.8768,30.0000,30.0000,20.7364,27.8374
4.8780,30.0000,30.0000,20.7364,27.8374
4.8791,30.0000,30.0000,20.7364,27.8374
4.8803,30.0000,30.0000,20.7364,27.8374
4.8814,30.0000,30.0000,20.7364,27.8374
4.8824,30.0000,30.0000,20.7364,27.8374
4.8835,30.0000,30.0000,20.7364,27.8374
4.8846,30.0000,30.0000,20.7364,27.8374
4.8856,30.0000,30.0000,20.7364,27.8374
4.8868,30.0000,30.0000,20.7364,27.8374
4.8880,30.0000,30.0000,20.7364,27.8374
4.8891,30.0000,30.0000,20.7364,27.8374
4.8902,30.0000,30.0000,20.7364,27.8374
4.8913,30.0000,30.0000,20.7364,27.8374
4.8924,30.0000,30.0000,20.7364,27.8374
4.8935,30.0000,30.0000,20.7364,27.8374
4.8946,30.0000,30.0000,20.7364,27.8374
4.8956,30.0000,30.0000,20.7364,27.8374
4.8968,30.0000,30.0000,20.7364,27.8374
4.8980,30.0000,30.0000,20.7364,27.8374
4.8991,30.0000,30.0000,20.7756,27.8374
4.9003,30.0000,30.0000,20.7364,27.8374
4.9012,30.0000,30.0000,20.7364,27.8374
4.9024,30.0000,30.0000,20.7364,27.8374
4.9035,30.0000,30.0000,20.7364,27.8374
4.9045,30.0000,30.0000,20.7364,27.8374
4.9057,30.0000,30.0000,20.7364,27.8374
4.9068,30.0000,30.0000,20.7364,27.8374
4.9079,30.0000,30.0000,20.7364,27.8374
4.9089,30.0000,30.0000,20.7364,27.8374
4.9101,30.0000,30.0000,20.7364,27.8374
4.9112,30.0000,30.0000,20.7364,27.8374
4.9123,30.0000,30.0000,20.7364,27.8374
4.9134,30.0000,30.0000,20.7364,27.8374
4.9146,30.0000,30.0000,20.7364,27.8374
4.9157,30.0000,30.0000,20.7364,27.8374
4.9168,30.0000,30.0000,20.7364,27.8374
4.9179,30.0000,30.0000,20.7364,27.8374
4.9190,30.0000,30.0000,20.7364,27.8374
4.9204,30.0000,30.0000,20.7364,27.8374
4.9213,30.0000,30.0000,20.7756,27.8374
4.9224,30.0000,30.0000,20.7364,27.8374
4.9235,30.0000,30.0000,20.7364,27.8374
4.9246,30.0000,30.0000,20.7364,27.8374
4.9256,30.0000,30.0000,20.7364,27.8374
4.9268,30.0000,30.0000,20.7364,27.8374
4.9280,30.0000,30.0000,20.7364,27.8374
4.9290,30.0000,30.0000,20.7364,27.8374
4.9302,30.0000,30.0000,20.7364,27.8374
4.9314,30.0000,30.0000,20.7364,27.8374
4.9324,30.0000,30.0000,20.7364,27.8374
4.9335,30.0000,30.0000,20.7364,27.8374
4.9346,30.0000,30.0000,20.7756,27.8374
4.9356,30.0000,30.0000,20.7364,27.8374
4.9368,30.0000,30.0000,20.7364,27.8374
4.9380,30.0000,30.0000,20.7364,27.8374
4.9390,30.0000,30.0000,20.7364,27.8374
4.9402,30.0000,30.0000,20.7364,27.8374
4.9414,30.0000,30.0000,20.7364,27.8374
4.9424,30.0000,30.0000,20.7364,27.8374
4.9435,30.0000,30.0000,20.7364,27.8374
4.9446,30.0000,30.0000,20.7364,27.8374
4.9456,30.0000,30.0000,20.7364,27.8374
4.9468,30.0000,30.0000,20.7364,27.8374
4.9480,30.0000,30.0000,20.7364,27.8374
4.9490,30.0000,30.0000,20.7364,27.8374
4.9502,30.0000,30.0000,20.7756,27.8374
4.9514,30.0000,30.0000,20.7364,27.8374
4.9524,30.0000,30.0000,20.7364,27.8374
4.9535,30.0000,30.0000,20.7364,27.8374
4.9546,30.0000,30.0000,20.7364,27.8374
4.9556,30.0000,30.0000,20.7364,27.8374
4.9568,30.0000,30.0000,20.7364,27.8374
4.9580,30.0000,30.0000,20.7364,27.8374
4.9590,30.0000,30.0000,20.7364,27.8374
4.9602,30.0000,30.0000,20.7364,27.8374
