Time_s,Ref_MCP_deg,Ref_PIP_deg,MCP_deg,PIP_deg
4.7802,30.0000,30.0000,29.9090,28.8644
4.7813,30.0000,30.0000,29.8698,28.8104
4.7824,30.0000,30.0000,29.8306,28.8104
4.7835,30.0000,30.0000,29.7914,28.8104
4.7846,30.0000,30.0000,29.7914,28.8104
4.7857,30.0000,30.0000,29.7130,28.8104
4.7868,30.0000,30.0000,29.7130,28.8104
4.7879,30.0000,30.0000,29.6738,28.7563
4.7890,30.0000,30.0000,29.6346,28.7563
4.7902,30.0000,30.0000,29.5562,28.7563
4.7918,30.0000,30.0000,29.4778,28.7563
4.7926,30.0000,30.0000,29.4778,28.7563
4.7935,30.0000,30.0000,29.3994,28.7563
4.7946,30.0000,30.0000,29.2818,28.8104
4.7957,30.0000,30.0000,29.2426,28.8104
4.7969,30.0000,30.0000,29.1642,28.8104
4.7979,30.0000,30.0000,29.1250,28.8104
4.7990,30.0000,30.0000,29.0858,28.8104
4.8002,30.0000,30.0000,29.0074,28.8104
4.8015,30.0000,30.0000,28.9290,28.8104
4.8025,30.0000,30.0000,28.8506,28.8104
4.8035,30.0000,30.0000,28.8114,28.8644
4.8046,30.0000,30.0000,28.7722,28.8644
4.8057,30.0000,30.0000,28.7330,28.8644
4.8069,30.0000,30.0000,28.6938,28.8644
4.8079,30.0000,30.0000,28.6154,28.8644
4.8095,30.0000,30.0000,28.5762,28.8644
4.8101,30.0000,30.0000,28.5370,28.9185
4.8112,30.0000,30.0000,28.4586,28.9185
4.8123,30.0000,30.0000,28.4194,28.9185
4.8135,30.0000,30.0000,28.3802,28.9185
4.8146,30.0000,30.0000,28.3410,28.9185
4.8157,30.0000,30.0000,28.3018,28.9726
4.8168,30.0000,30.0000,28.3018,28.9726
4.8179,30.0000,30.0000,28.2626,28.9726
4.8190,30.0000,30.0000,28.2234,28.9726
4.8202,30.0000,30.0000,28.1842,29.0266
4.8214,30.0000,30.0000,28.1450,29.0266
4.8224,30.0000,30.0000,28.1450,29.0266
4.8235,30.0000,30.0000,28.1058,29.0807
4.8246,30.0000,30.0000,28.0666,29.0807
4.8257,30.0000,30.0000,28.0666,29.0807
4.8268,30.0000,30.0000,28.0666,29.1347
4.8279,30.0000,30.0000,28.0274,29.1347
4.8290,30.0000,30.0000,28.0274,29.1888
4.8302,30.0000,30.0000,28.0274,29.1888
