Time_s,Ref_MCP_deg,Ref_PIP_deg,MCP_deg,PIP_deg
0.3790,0.0000,0.0000,0.9016,0.9730
0.3803,0.0000,0.0000,0.8232,0.9730
0.3812,0.0000,0.0000,0.7840,0.9730
0.3824,0.0000,0.0000,0.7448,0.9730
0.3835,0.0000,0.0000,0.7056,0.9730
0.3847,0.0000,0.0000,0.6664,0.9189
0.3858,0.0000,0.0000,0.6272,0.9189
0.3868,0.0000,0.0000,0.5880,0.9189
0.3879,0.0000,0.0000,0.5488,0.9189
0.3893,0.0000,0.0000,0.4312,0.9189
0.3901,0.0000,0.0000,0.3920,0.9189
0.3913,0.0000,0.0000,0.3528,0.9189
0.3924,0.0000,0.0000,0.3136,0.9189
0.3935,0.0000,0.0000,0.2744,0.9189
0.3946,0.0000,0.0000,0.2352,0.8649
0.3958,0.0000,0.0000,0.1960,0.8649
0.3968,0.0000,0.0000,0.1568,0.8649
0.3979,0.0000,0.0000,0.1176,0.8649
0.3993,0.0000,0.0000,0.0784,0.8649
0.4001,0.0000,0.0000,0.0392,0.8649
0.4013,0.0000,0.0000,0.0000,0.8108
0.4024,0.0000,0.0000,-0.0392,0.8108
0.4035,0.0000,0.0000,-0.0784,0.8108
0.4046,0.0000,0.0000,-0.1176,0.8108
0.4057,0.0000,0.0000,-0.1176,0.8108
0.4068,0.0000,0.0000,-0.1568,0.8108
0.4079,0.0000,0.0000,-0.1960,0.8108
0.4093,0.0000,0.0000,-0.2352,0.8108
0.4101,0.0000,0.0000,-0.2744,0.7567
0.4113,0.0000,0.0000,-0.2744,0.7567
0.4124,0.0000,0.0000,-0.3136,0.7567
0.4135,0.0000,0.0000,-0.3528,0.7027
0.4147,0.0000,0.0000,-0.3528,0.7027
0.4158,0.0000,0.0000,-0.3920,0.6486
0.4168,0.0000,0.0000,-0.3920,0.6486
0.4178,0.0000,0.0000,-0.4312,0.5946
0.4193,0.0000,0.0000,-0.4312,0.5946
0.4201,0.0000,0.0000,-0.4704,0.5405
0.4213,0.0000,0.0000,-0.4704,0.5405
0.4224,0.0000,0.0000,-0.4704,0.4865
0.4235,0.0000,0.0000,-0.4704,0.4865
0.4247,0.0000,0.0000,-0.4704,0.4324
0.4257,0.0000,0.0000,-0.4704,0.4324
0.4268,0.0000,0.0000,-0.5096,0.4324
0.4279,0.0000,0.0000,-0.5096,0.3784
0.4290,0.0000,0.0000,-0.5096,0.3243
0.4304,0.0000,0.0000,-0.5096,0.3243
0.4313,0.0000,0.0000,-0.5096,0.2703
0.4324,0.0000,0.0000,-0.5096,0.2703
0.4335,0.0000,0.0000,-0.5096,0.2703
0.4347,0.0000,0.0000,-0.5096,0.2162
0.4357,0.0000,0.0000,-0.5096,0.2162
0.4368,0.0000,0.0000,-0.4704,0.2162
0.4379,0.0000,0.0000,-0.4704,0.1622
0.4390,0.0000,0.0000,-0.4704,0.1622
0.4403,0.0000,0.0000,-0.4704,0.1622
0.4412,0.0000,0.0000,-0.4704,0.1081
0.4424,0.0000,0.0000,-0.4704,0.1081
0.4435,0.0000,0.0000,-0.4704,0.0541
0.4447,0.0000,0.0000,-0.4704,0.0541
0.4457,0.0000,0.0000,-0.4704,0.0541
0.4468,0.0000,0.0000,-0.4704,0.0000
0.4479,0.0000,0.0000,-0.4704,0.0000
0.4493,0.0000,0.0000,-0.4704,-0.0541
