time_s,k_torsional,run,phase,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,qdot_0,qdot_1,qdot_2,qdot_3,qdot_4,qdot_5,qdot_6,qdot_7,qdot_8,qdot_9,qdot_10,qdot_11,qdot_12,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12
34.9233,0.3,1,return,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003328345485933466,8.740920607027504e-05,-0.001702053941980689,-0.00035900206969973874,4.357211969920115e-05,0.066755743189769,-0.14491331273223523,0.06717551057751443,-0.14016486037296627,0.06681596872410349,-0.14493009715224986,0.06555403142881185,-0.1630590556120449
34.9503,0.3,1,return,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003328347574113927,8.728737847751611e-05,-0.0017020341507201003,-0.0003589978743220803,4.35788428444679e-05,0.06675575997755565,-0.14491331824014017,0.06717553302432734,-0.14016486647058776,0.06681598649858785,-0.14493010284218094,0.06555403372957015,-0.16305905724356945
34.9766,0.3,1,return,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033283954029647844,8.688963670797255e-05,-0.0017019861952070605,-0.000358989019700551,4.3611630366066894e-05,0.06675586356176316,-0.14491334883288107,0.06717563020055899,-0.14016489112475966,0.066816043797243,-0.14493011994365645,0.06555402237279419,-0.163059054539415
35.0037,0.3,1,return,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033284335402675646,8.644765631744564e-05,-0.0017019268023882373,-0.000358977408424817,4.364411231477849e-05,0.06675596082901167,-0.14491337821626693,0.06717572941223864,-0.14016491677653833,0.06681610768008667,-0.1449301394705334,0.06555401659915196,-0.16305905445162644
35.0303,0.3,1,return,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033283511641911973,8.690407301126615e-05,-0.0017019706688818912,-0.00035898432282073235,4.3599213919884194e-05,0.06675580925854334,-0.14491333465477663,0.06717560190196131,-0.14016488530787835,0.06681604245390182,-0.14493012084521992,0.06555404231650787,-0.16305906295182088
35.0573,0.3,1,descend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033283837875461124,8.679847713289587e-05,-0.0017019660317431143,-0.0003589843246129043,4.361318216636205e-05,0.06675586045443593,-0.14491334890310972,0.06717563931292347,-0.14016489416044792,0.06681605731855306,-0.14493012467115324,0.06555403014260193,-0.16305905833526657
35.0843,0.3,1,descend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003328404409396521,8.660740894805046e-05,-0.0017019420364710394,-0.00035897979324308883,4.3628315443890934e-05,0.06675590741953451,-0.14491336287667664,0.06717568461385283,-0.14016490572901277,0.06681608486691269,-0.14493013296553148,0.06555402575008831,-0.16305905748978147
35.1119,0.3,1,descend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033284321138024276,8.642808368633767e-05,-0.0017019229066907332,-0.0003589765263999352,4.364472771713457e-05,0.06675596143151902,-0.1449133785596095,0.06717573199034889,-0.1401649175518075,0.06681611056367222,-0.14493014044702332,0.06555401777574546,-0.16305905505739915
35.1376,0.3,1,descend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003328451891986799,8.636800491600269e-05,-0.0017019207608545337,-0.00035897667134637113,4.365300139154499e-05,0.06675599201194579,-0.1449133870417007,0.06717575397525039,-0.14016492272701025,0.06681611898064199,-0.14493014257456688,0.06555401026971353,-0.16305905218513678
35.1616,0.3,1,descend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00332841018134,8.664744798446774e-05,-0.0017019511649997675,-0.00035898193454174447,4.362781073061405e-05,0.06675590958118767,-0.1449133630518541,0.06717568100245955,-0.14016490447337523,0.06681607891711062,-0.1449301308653037,0.06555402203011378,-0.1630590556917111
35.1873,0.3,1,descend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003328395158280085,8.699629961317747e-05,-0.0017020041671020661,-0.00035899287972711725,4.360616024783424e-05,0.0667558507446144,-0.14491334449690615,0.06717561147481846,-0.14016488597056775,0.06681602821603627,-0.14493011490767901,0.06555401963943627,-0.16305905280444802
35.2145,0.3,1,descend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033283743802924857,8.712579421661372e-05,-0.0017020176655407845,-0.00035899514784487136,4.359410948115782e-05,0.06675581082829067,-0.14491333293580735,0.06717557680412503,-0.14016487734132457,0.06681600965461959,-0.14493010952732494,0.06555402573289368,-0.1630590547045912
