Phase,displacement_m,Kx_N_per_m,F_N
descent,0.008828743718592965,84.75418965082567,1.9947172896294576
descent,0.008929070351758795,83.63656261969614,2.003164266742182
descent,0.009029396984924623,82.52629192708555,2.011499485116077
descent,0.009129723618090453,81.42337757299393,2.0197236827878173
descent,0.009230050251256281,80.32781955742128,2.02783759779408
descent,0.009330376884422112,79.23961788036758,2.03584196817154
descent,0.00943070351758794,78.15877254183283,2.0437375319568734
descent,0.00953103015075377,77.08528354181702,2.0515250271867567
descent,0.009631356783919598,76.01915088032021,2.059205191897866
descent,0.009731683417085427,74.96037455734232,2.0667787641268776
descent,0.009832010050251257,73.9089545728834,2.0742464819104667
descent,0.009932336683417085,72.86489092694345,2.08160908328531
descent,0.010032663316582915,71.82818361952243,2.088867306288083
descent,0.010132989949748743,70.79883265062041,2.0960218889554625
descent,0.010233316582914573,69.77683802023732,2.103073569324124
descent,0.010333643216080402,68.76219972837319,2.110023085430744
descent,0.010433969849246232,67.75491777502802,2.1168711753119975
descent,0.01053429648241206,66.75499216020181,2.1236185770045615
descent,0.01063462311557789,65.76242288389454,2.1302660285451114
descent,0.010734949748743719,64.77720994610625,2.136814267970324
descent,0.010835276381909549,63.79935334683691,2.1432640333168744
descent,0.010935603015075377,62.82885308608652,2.1496160626214396
descent,0.011035929648241207,61.865709163855094,2.1558710939206946
descent,0.011136256281407035,60.909921580142644,2.162029865251317
descent,0.011236582914572864,59.961490334949126,2.168093114649981
descent,0.011336909547738694,59.020415428274575,2.1740615801533636
descent,0.011437236180904522,58.08669686011898,2.179935999798141
descent,0.011537562814070352,57.16033463048233,2.185717111620989
descent,0.01163788944723618,56.24132873936467,2.191405653658583
descent,0.01173821608040201,55.32967918676595,2.1970023639476004
descent,0.011838542713567839,54.42538597268618,2.2025079805247163
descent,0.011938869346733669,53.528449097125375,2.207923241426607
descent,0.012039195979899497,52.63886856008352,2.2132488846899476
descent,0.012139522613065327,51.756644361560625,2.2184856483514155
descent,0.012239849246231156,50.88177650155669,2.223634270447686
descent,0.012340175879396986,50.01426498007171,2.228695489015436
descent,0.012440502512562814,49.154109797105704,2.2336700420913402
descent,0.012540829145728644,48.30131095265863,2.2385586677120752
descent,0.012641155778894473,47.45586844673054,2.2433621039143175
descent,0.012741482412060303,46.617782279321375,2.248081088734742
descent,0.012841809045226131,45.7870524504312,2.2527163602100266
descent,0.01294213567839196,44.96367896005998,2.2572686563768456
descent,0.01304246231155779,44.14766180820768,2.2617387152718758
descent,0.013142788944723618,43.339000994874375,2.2661272749317933
descent,0.013243115577889448,42.53769652006002,2.270435073393274
descent,0.013343442211055276,41.743748383764625,2.2746628486929934
descent,0.013443768844221106,40.95715658598818,2.2788113388676288
descent,0.013544095477386935,40.177921126730695,2.2828812819538546
descent,0.013644422110552765,39.406042005992155,2.2868734159883477
descent,0.013744748743718593,38.6415192237726,2.290788479007785
descent,0.013845075376884423,37.88435278007197,2.2946272090488407
descent,0.013945402010050251,37.134542674890334,2.298390344148192
descent,0.014045728643216081,36.39208890822763,2.3020786223425156
descent,0.01414605527638191,35.65699148008389,2.305692781668486
descent,0.01424638190954774,34.929250390459096,2.309233560162779
descent,0.014346708542713568,34.208865639353284,2.312701695862073
descent,0.014447035175879398,33.495837226766405,2.316097926803042
descent,0.014547361809045227,32.790165152698506,2.3194229910223627
descent,0.014647688442211055,32.09184941714956,2.322677626556711
descent,0.014748015075376885,31.40089002011956,2.3258625714427628
