Phase,displacement_m,Kx_N_per_m,F_N
ascent,0.010332608040201006,65.23014335921313,0.5520063692352066
ascent,0.01043292462311558,66.19186747826012,0.5585984392373182
ascent,0.010533241206030152,67.13367720809839,0.5652859872450212
ascent,0.010633557788944724,68.05557254872797,0.572067015514839
ascent,0.010733874371859298,68.9575535001488,0.5789395263032955
ascent,0.01083419095477387,69.83962006236094,0.5859015218669144
ascent,0.010934507537688444,70.70177223536437,0.5929510044622197
ascent,0.011034824120603016,71.54401001915905,0.6000859763457346
ascent,0.01113514070351759,72.36633341374507,0.6073044397739835
ascent,0.011235457286432162,73.16874241912235,0.6146043970034898
ascent,0.011335773869346734,73.95123703529092,0.6219838502907771
ascent,0.011436090452261308,74.71381726225079,0.6294408018923697
ascent,0.01153640703517588,75.45648310000189,0.6369732540647907
ascent,0.011636723618090454,76.17923454854433,0.6445792090645643
ascent,0.011737040201005026,76.88207160787803,0.6522566691482142
ascent,0.0118373567839196,77.56499427800306,0.660003636572264
ascent,0.011937673366834172,78.22800255891931,0.6678181135932375
ascent,0.012037989949748744,78.87109645062688,0.6756981024676583
ascent,0.012138306532663318,79.49427595312576,0.6836416054520507
ascent,0.01223862311557789,80.0975410664159,0.6916466248029376
ascent,0.012338939698492464,80.68089179049731,0.6997111627768435
ascent,0.012439256281407036,81.24432812537003,0.7078332216302916
ascent,0.01253957286432161,81.78785007103406,0.7160108036198065
ascent,0.012639889447236182,82.31145762748933,0.7242419110019108
ascent,0.012740206030150756,82.81515079473591,0.7325245460331289
ascent,0.012840522613065328,83.29892957277379,0.7408567109699848
ascent,0.0129408391959799,83.76279396160291,0.7492364080690015
ascent,0.013041155778894474,84.20674396122337,0.7576616395867034
ascent,0.013141472361809046,84.63077957163506,0.7661304077796139
ascent,0.01324178894472362,85.0349007928381,0.7746407149042572
ascent,0.013342105527638192,85.41910762483238,0.7831905632171563
ascent,0.013442422110552766,85.78340006761798,0.7917779549748357
ascent,0.013542738693467338,86.12777812119482,0.8004008924338186
ascent,0.013643055276381912,86.45224178556298,0.8090573778506291
ascent,0.013743371859296484,86.75679106072242,0.817745413481791
ascent,0.013843688442211056,87.04142594667313,0.8264630015838275
ascent,0.01394400502512563,87.30614644341514,0.835208144413263
ascent,0.014044321608040202,87.55095255094845,0.8439788442266208
ascent,0.014144638190954776,87.77584426927304,0.8527731032804249
ascent,0.014244954773869348,87.9808215983889,0.861588923831199
ascent,0.014345271356783922,88.16588453829607,0.8704243081354671
ascent,0.014445587939698494,88.3310330889945,0.8792772584497524
ascent,0.014545904522613066,88.47626725048423,0.8881457770305787
ascent,0.01464622110552764,88.60158702276526,0.8970278661344705
ascent,0.014746537688442212,88.70699240583755,0.9059215280179507
ascent,0.014846854271356786,88.79248339970113,0.9148247649375436
ascent,0.014947170854271358,88.858060004356,0.9237355791497726
ascent,0.015047487437185932,88.90372221980218,0.9326519729111616
ascent,0.015147804020100504,88.94934830143667,0.9415726131844528
ascent,0.015248120603015076,89.0148165046565,0.9504988257572633
ascent,0.01534843718592965,89.1001268294617,0.9594326011234278
ascent,0.015448753768844222,89.20527927585222,0.9683759297767813
ascent,0.015549070351758796,89.33027384382815,0.97733080221116
ascent,0.015649386934673368,89.47511053338938,0.9862992089203984
ascent,0.01574970351758794,89.63978934453601,0.9952831403983319
ascent,0.015850020100502515,89.82431027726798,1.0042845871387958
ascent,0.015950336683417086,90.0286733315853,1.0133055396356245
ascent,0.01605065326633166,90.25287850748798,1.0223479883826545
ascent,0.016150969849246233,90.49692580497603,1.0314139238737206
ascent,0.016251286432160804,90.76081522404938,1.040505336602657
ascent,0.016351603015075378,91.04454676470817,1.0496242170633006
ascent,0.01645191959798995,91.34812042695225,1.0587725557494854
ascent,0.016552236180904525,91.67153621078172,1.0679523431550473
ascent,0.016652552763819096,92.01479411619651,1.0771655697738207
ascent,0.01675286934673367,92.37789414319671,1.086414226099642
ascent,0.016853185929648243,92.76083629178223,1.0957003026263452
ascent,0.016953502512562814,93.16362056195308,1.1050257898477662
ascent,0.017053819095477388,93.58624695370932,1.11439267825774
ascent,0.01715413567839196,94.02871546705092,1.1238029583501024
ascent,0.017254452261306535,94.49102610197787,1.1332586206186877
ascent,0.017354768844221106,94.97317885849014,1.1427616555573317
ascent,0.01745508542713568,95.4751737365878,1.1523140536598693
ascent,0.017555402010050253,95.99701073627082,1.1619178054201358
ascent,0.017655718592964824,96.53868985753917,1.1715749013319667
ascent,0.017756035175879398,97.1002111003929,1.181287331889197
ascent,0.01785635175879397,97.681574464832,1.1910570875856623
ascent,0.017956668341708545,98.28277995085642,1.2008861589151971
ascent,0.018056984924623116,98.90382755846619,1.2107765363716365
ascent,0.01815730150753769,99.54471728766134,1.2207302104488171
ascent,0.018257618090452263,100.20544913844185,1.2307491716405727
ascent,0.018357934673366837,100.88602311080768,1.2408354104407393
ascent,0.018458251256281408,101.5864392047589,1.2509909173431515
ascent,0.01855856783919598,102.30669742029546,1.261217682841645
ascent,0.018658884422110555,103.04679775741738,1.271517697430055
ascent,0.018759201005025126,103.80674021612462,1.2818929516022162
ascent,0.0188595175879397,104.58652479641728,1.2923454358519646
ascent,0.018959834170854273,105.38615149829528,1.3028771406731352
ascent,0.019060150753768847,106.20562032175862,1.313490056559563
ascent,0.019160467336683418,107.04493126680728,1.3241861740050827
ascent,0.01926078391959799,107.90408433344135,1.3349674835035308
ascent,0.019361100502512565,108.78307952166075,1.3458359755487412
ascent,0.019461417085427136,109.68191683146551,1.3567936406345502
ascent,0.01956173366834171,110.60059626285563,1.3678424692547924
ascent,0.019662050251256284,111.53911781583113,1.3789844519033037
ascent,0.019762366834170857,112.49748149039195,1.390221579073918
ascent,0.019862683417085428,113.47568728653809,1.4015558412604712
ascent,0.019963,114.47373520426964,1.4129892289567991
