time_s,pose_id,converged,thumb_CMC1_act_rad,thumb_CMC2_act_rad,thumb_MCP_act_rad,thumb_IP_act_rad,spread_index_act_rad,spread_middle_act_rad,spread_ring_act_rad,spread_pinky_act_rad,index_MCP_act_rad,index_PIP_act_rad,index_DIP_act_rad,middle_MCP_act_rad,middle_PIP_act_rad,middle_DIP_act_rad,ring_MCP_act_rad,ring_PIP_act_rad,ring_DIP_act_rad,pinky_MCP_act_rad,pinky_PIP_act_rad,pinky_DIP_act_rad,thumb_CMC1_ref_rad,thumb_CMC2_ref_rad,thumb_MCP_ref_rad,thumb_IP_ref_rad,spread_index_ref_rad,spread_middle_ref_rad,spread_ring_ref_rad,spread_pinky_ref_rad,index_MCP_ref_rad,index_PIP_ref_rad,index_DIP_ref_rad,middle_MCP_ref_rad,middle_PIP_ref_rad,middle_DIP_ref_rad,ring_MCP_ref_rad,ring_PIP_ref_rad,ring_DIP_ref_rad,pinky_MCP_ref_rad,pinky_PIP_ref_rad,pinky_DIP_ref_rad
0.7000,1,0,0.925403,0.018241,0.845591,0.638051,-0.011607,-0.000000,0.011607,0.017411,0.943852,1.063232,1.063232,0.821674,1.111353,1.111353,0.858980,1.090674,1.090674,1.002610,1.081877,1.081877,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.7333,1,0,0.925973,0.021715,0.843056,0.661978,-0.012323,-0.000000,0.012323,0.018484,0.965303,1.063232,1.063232,0.821674,1.110673,1.110673,0.876701,1.089971,1.089971,1.019398,1.080291,1.080291,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.7667,1,0,0.925973,0.020847,0.835449,0.659319,-0.012067,-0.000000,0.012067,0.018101,0.971832,1.063232,1.063232,0.822606,1.110673,1.110673,0.894421,1.089267,1.089267,1.029657,1.080291,1.080291,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.8000,1,0,0.925973,0.019978,0.829110,0.646027,-0.011607,-0.000000,0.011607,0.017411,0.970899,1.063935,1.063935,0.823539,1.110673,1.110673,0.903748,1.088563,1.088563,1.031522,1.080291,1.080291,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.8339,1,0,0.925973,0.019978,0.826575,0.634063,-0.011351,-0.000000,0.011351,0.017027,0.969034,1.073083,1.073083,0.823539,1.111353,1.111353,0.904681,1.088563,1.088563,1.031522,1.080291,1.080291,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.8670,1,0,0.927112,0.002606,0.821504,0.622100,-0.011198,-0.000000,0.011198,0.016797,0.968101,1.088563,1.088563,0.823539,1.124284,1.124284,0.903748,1.088563,1.088563,1.031522,1.087429,1.087429,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.9000,1,0,0.930531,-0.026059,0.817701,0.608807,-0.011147,-0.000000,0.011147,0.016720,0.955044,1.089971,1.089971,0.829135,1.137895,1.137895,0.902815,1.092785,1.092785,1.031522,1.105672,1.105672,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.9333,1,0,0.931101,-0.047774,0.813897,0.600831,-0.011198,-0.000000,0.011198,0.016797,0.941054,1.086452,1.086452,0.845923,1.141298,1.141298,0.914007,1.108266,1.108266,1.030590,1.110431,1.110431,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
0.9667,1,0,0.931101,-0.063409,0.808826,0.599502,-0.011249,-0.000000,0.011249,0.016874,0.927997,1.082230,1.082230,0.849654,1.139937,1.139937,0.946650,1.116710,1.116710,1.019398,1.108051,1.108051,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
1.0007,1,0,0.931101,-0.070358,0.806291,0.600831,-0.012323,-0.000000,0.012323,0.018484,0.915872,1.082230,1.082230,0.849654,1.137215,1.137215,0.969967,1.116006,1.116006,0.992351,1.104085,1.104085,1.134464,0.000000,0.872665,0.698132,-0.034907,0.000000,0.034907,0.034907,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464,0.959931,1.134464,1.134464
