Time_s,Force_Ref_N,Force_Pred_N,Force_Normal_N,Force_Total_N,Force_Shear_N,Motor1_pos_deg,Motor2_pos_deg,K11,K22,K33
0.0800,0.4000,0.882769,1.145771,1.150458,0.103748,47.2852,45.6152,0.493692,0.499282,0.499282
0.0812,0.4000,0.882609,1.145771,1.150458,0.103748,47.2852,45.6152,0.493617,0.499276,0.499276
0.0823,0.4000,0.884240,1.145771,1.150458,0.103748,47.2852,45.5273,0.493543,0.499270,0.499270
0.0833,0.4000,0.886576,1.145771,1.150458,0.103748,47.1973,45.5273,0.493467,0.499264,0.499264
0.0845,0.4000,0.886413,1.145771,1.150458,0.103748,47.1973,45.5273,0.493392,0.499258,0.499258
0.0856,0.4000,0.888042,1.145771,1.150458,0.103748,47.1973,45.4395,0.493317,0.499251,0.499251
0.0867,0.4000,0.887878,1.145771,1.150458,0.103748,47.1973,45.4395,0.493242,0.499245,0.499245
0.0878,0.4000,0.887714,1.145771,1.150458,0.103748,47.1973,45.4395,0.493166,0.499239,0.499239
0.0889,0.4000,0.887551,1.145771,1.150458,0.103748,47.1973,45.4395,0.493091,0.499232,0.499232
0.0900,0.4000,0.889183,1.145771,1.150458,0.103748,47.1973,45.3516,0.493016,0.499226,0.499226
0.0912,0.4000,0.891497,1.145771,1.150458,0.103748,47.1094,45.3516,0.492940,0.499219,0.499219
0.0922,0.4000,0.893128,1.145771,1.150458,0.103748,47.1094,45.2637,0.492864,0.499212,0.499212
0.0933,0.4000,0.892961,1.145771,1.150458,0.103748,47.1094,45.2637,0.492788,0.499205,0.499205
0.0945,0.4000,0.894595,1.145771,1.150458,0.103748,47.1094,45.1758,0.492711,0.499198,0.499198
0.0956,0.4000,0.894427,1.145771,1.150458,0.103748,47.1094,45.1758,0.492635,0.499191,0.499191
0.0967,0.4000,0.900328,1.145771,1.150458,0.103748,47.0215,45.0000,0.492558,0.499184,0.499184
0.0978,0.4000,0.900156,1.145771,1.150458,0.103748,47.0215,45.0000,0.492481,0.499177,0.499177
0.0989,0.4000,0.901796,1.145771,1.150458,0.103748,47.0215,44.9121,0.492404,0.499169,0.499169
0.1000,0.4000,0.901624,1.145771,1.150458,0.103748,47.0215,44.9121,0.492327,0.499161,0.499161
0.1012,0.4000,0.905701,1.145771,1.150458,0.103748,46.9336,44.8242,0.492250,0.499154,0.499154
0.1022,0.4000,0.905526,1.145771,1.150458,0.103748,46.9336,44.8242,0.492172,0.499146,0.499146
0.1033,0.4000,0.907166,1.145771,1.150458,0.103748,46.9336,44.7363,0.492094,0.499138,0.499138
0.1045,0.4000,0.908811,1.145771,1.150458,0.103748,46.9336,44.6484,0.492016,0.499129,0.499129
0.1056,0.4000,0.908633,1.145771,1.150458,0.103748,46.9336,44.6484,0.491939,0.499121,0.499121
0.1067,0.4000,0.912692,1.145771,1.150458,0.103748,46.8457,44.5605,0.491860,0.499113,0.499113
0.1078,0.4000,0.912512,1.145771,1.150458,0.103748,46.8457,44.5605,0.491782,0.499104,0.499104
0.1089,0.4000,0.912332,1.145771,1.150458,0.103748,46.8457,44.5605,0.491703,0.499096,0.499096
0.1100,0.4000,0.913976,1.145771,1.150458,0.103748,46.8457,44.4727,0.491625,0.499087,0.499087
0.1112,0.4000,0.915624,1.145771,1.150458,0.103748,46.8457,44.3848,0.491546,0.499078,0.499078
0.1122,0.4000,0.917834,1.145771,1.150458,0.103748,46.7578,44.3848,0.491467,0.499069,0.499069
0.1133,0.4000,0.917091,1.145771,1.150458,0.103748,46.8457,44.2969,0.491388,0.499060,0.499060
0.1145,0.4000,0.916908,1.145771,1.150458,0.103748,46.8457,44.2969,0.491309,0.499051,0.499051
0.1156,0.4000,0.916726,1.145771,1.150458,0.103748,46.8457,44.2969,0.491231,0.499042,0.499042
0.1167,0.4000,0.918379,1.145771,1.150458,0.103748,46.8457,44.2090,0.491152,0.499033,0.499033
0.1178,0.4000,0.918195,1.145771,1.150458,0.103748,46.8457,44.2090,0.491073,0.499024,0.499024
0.1189,0.4000,0.922227,1.145771,1.150458,0.103748,46.7578,44.1211,0.490994,0.499014,0.499014
0.1200,0.4000,0.922040,1.145771,1.150458,0.103748,46.7578,44.1211,0.490914,0.499004,0.499004
0.1212,0.4000,0.921324,1.145771,1.150458,0.103748,46.8457,44.0332,0.490835,0.498995,0.498995
0.1222,0.4000,0.923506,1.145771,1.150458,0.103748,46.7578,44.0332,0.490756,0.498985,0.498985
0.1233,0.4000,0.922799,1.145771,1.150458,0.103748,46.8457,43.9453,0.490677,0.498975,0.498975
0.1245,0.4000,0.924974,1.145771,1.150458,0.103748,46.7578,43.9453,0.490598,0.498965,0.498965
0.1256,0.4000,0.926632,1.145771,1.150458,0.103748,46.7578,43.8574,0.490518,0.498955,0.498955
0.1267,0.4000,0.926442,1.145771,1.150458,0.103748,46.7578,43.8574,0.490438,0.498945,0.498945
0.1278,0.4000,0.928103,1.145771,1.150458,0.103748,46.7578,43.7695,0.490359,0.498935,0.498935
0.1289,0.4000,0.927912,1.145771,1.150458,0.103748,46.7578,43.7695,0.490279,0.498924,0.498924
0.1300,0.4000,0.927720,1.145771,1.150458,0.103748,46.7578,43.7695,0.490199,0.498914,0.498914
0.1312,0.4000,0.931242,1.145771,1.150458,0.103748,46.7578,43.5937,0.490120,0.498903,0.498903
0.1322,0.4000,0.932911,1.145771,1.150458,0.103748,46.7578,43.5059,0.490040,0.498892,0.498892
0.1333,0.4000,0.932716,1.145771,1.150458,0.103748,46.7578,43.5059,0.489960,0.498881,0.498881
0.1345,0.4000,0.934387,1.145771,1.150458,0.103748,46.7578,43.4180,0.489880,0.498870,0.498870
0.1356,0.4000,0.934190,1.145771,1.150458,0.103748,46.7578,43.4180,0.489800,0.498859,0.498859
0.1367,0.4000,0.935863,1.145771,1.150458,0.103748,46.7578,43.3301,0.489720,0.498847,0.498847
0.1378,0.4000,0.935666,1.145771,1.150458,0.103748,46.7578,43.3301,0.489640,0.498836,0.498836
0.1389,0.4000,0.935468,1.144917,1.149601,0.103680,46.7578,43.3301,0.489560,0.498824,0.498824
0.1400,0.4000,0.937143,1.144917,1.149601,0.103680,46.7578,43.2422,0.489480,0.498813,0.498813
0.1412,0.4000,0.936944,1.144917,1.149601,0.103680,46.7578,43.2422,0.489400,0.498801,0.498801
0.1422,0.4000,0.940925,1.144917,1.149601,0.103680,46.6699,43.1543,0.489319,0.498789,0.498789
0.1433,0.4000,0.940723,1.144917,1.149601,0.103680,46.6699,43.1543,0.489239,0.498777,0.498777
0.1445,0.4000,0.942395,1.144917,1.149601,0.103680,46.6699,43.0664,0.489158,0.498765,0.498765
0.1456,0.4000,0.942191,1.144917,1.149601,0.103680,46.6699,43.0664,0.489077,0.498753,0.498753
0.1467,0.4000,0.941988,1.144917,1.149601,0.103680,46.6699,43.0664,0.488997,0.498741,0.498741
0.1478,0.4000,0.943661,1.144917,1.149601,0.103680,46.6699,42.9785,0.488916,0.498729,0.498729
